Date,inventario_final_semanal
2018-11-21,446908.0
2018-11-15,442057.0
2018-11-07,431787.0
2018-10-31,426004.0
2018-10-24,422787.0
2018-10-17,416441.0
2018-10-11,409951.0
2018-10-03,403964.0
2018-09-26,395989.0
2018-09-19,394137.0
2018-09-12,396194.0
2018-09-06,401490.0
2018-08-29,405792.0
2018-08-22,408358.0
2018-08-15,414194.0
2018-08-08,407389.0
2018-08-01,408740.0
2018-07-25,404937.0
2018-07-18,411084.0
2018-07-11,405248.0
2018-07-05,417881.0
2018-06-27,416636.0
2018-06-20,426527.0
2018-06-13,432441.0
2018-06-06,436584.0
2018-05-31,434512.0
2018-05-23,438132.0
2018-05-16,432354.0
2018-05-09,433758.0
2018-05-02,435955.0
2018-04-25,429737.0
2018-04-18,427567.0
2018-04-11,428638.0
2018-04-04,429949.0
2018-03-28,429949.0
2018-03-21,428306.0
2018-03-14,430928.0
2018-03-07,425906.0
2018-02-28,423498.0
2018-02-22,420479.0
2018-02-14,422095.0
2018-02-07,420254.0
2018-01-31,418359.0
2018-01-24,411583.0
2018-01-18,412654.0
2018-01-10,419515.0
2018-01-04,424463.0
2017-12-28,431882.0
2017-12-20,436491.0
2017-12-13,442986.0
2017-12-06,448103.0
2017-11-29,453713.0
2017-11-22,457142.0
2017-11-15,458997.0
2017-11-08,457143.0
2017-11-01,454906.0
2017-10-25,457341.0
2017-10-18,456485.0
2017-10-12,462216.0
2017-10-04,464963.0
2017-09-27,470986.0
2017-09-20,472832.0
2017-09-13,468241.0
2017-09-07,462353.0
2017-08-30,457773.0
2017-08-23,463165.0
2017-08-16,466492.0
2017-08-09,475437.0
2017-08-02,481888.0
2017-07-26,483415.0
2017-07-19,490623.0
2017-07-12,495350.0
2017-07-06,502914.0
2017-06-28,509213.0
2017-06-21,509095.0
2017-06-14,511546.0
2017-06-07,513207.0
2017-06-01,509912.0
2017-05-24,516340.0
2017-05-17,520772.0
2017-05-10,522525.0
2017-05-03,527772.0
2017-04-26,528702.0
2017-04-19,533377.0
2017-04-12,533377.0
2017-04-05,535543.0
2017-03-29,533977.0
2017-03-22,533110.0
2017-03-15,528156.0
2017-03-08,528393.0
2017-03-01,520184.0
2017-02-23,518683.0
2017-02-15,518119.0
2017-02-08,508592.0
2017-02-01,494762.0
2017-01-25,488296.0
2017-01-19,485456.0
2017-01-11,483109.0
2017-01-05,479012.0
2016-12-29,486063.0
2016-12-21,485449.0
2016-12-14,483193.0
2016-12-07,485756.0
2016-11-30,488145.0
2016-11-23,489029.0
2016-11-16,485010.0
2016-11-09,485010.0
2016-11-02,482578.0
2016-10-26,468158.0
2016-10-19,468711.0
2016-10-13,473958.0
2016-10-05,469108.0
2016-09-28,472084.0
2016-09-21,473966.0
2016-09-14,480166.0
2016-09-08,480725.0
2016-08-31,495238.0
2016-08-24,492962.0
2016-08-17,490461.0
2016-08-10,492969.0
2016-08-03,491914.0
2016-07-27,490501.0
2016-07-20,488830.0
2016-07-13,491172.0
2016-07-07,493718.0
2016-06-29,495941.0
2016-06-22,499994.0
2016-06-15,500911.0
2016-06-08,501844.0
2016-06-02,504205.0
2016-05-25,505571.0
2016-05-18,509797.0
2016-05-11,508487.0
2016-05-04,512095.0
2016-04-27,509311.0
2016-04-20,507312.0
2016-04-13,505232.0
2016-04-06,498598.0
2016-03-30,501517.0
2016-03-23,501517.0
2016-03-16,492160.0
2016-03-09,490843.0
2016-03-02,486699.0
2016-02-24,476325.0
2016-02-18,472823.0
2016-02-10,470676.0
2016-02-03,471344.0
2016-01-27,463552.0
2016-01-21,455169.0
2016-01-13,451190.0
2016-01-06,452477.0
2015-12-30,452477.0
2015-12-23,452477.0
2015-12-16,458354.0
2015-12-09,453553.0
2015-12-02,457212.0
2015-11-25,456035.0
2015-11-18,455074.0
2015-11-12,454822.0
2015-11-04,450841.0
2015-10-28,447994.0
2015-10-21,444618.0
2015-10-15,436590.0
2015-10-07,429028.0
2015-09-30,425988.0
2015-09-23,422033.0
2015-09-16,423958.0
2015-09-10,426062.0
2015-09-02,423657.0
2015-08-26,418990.0
2015-08-19,424442.0
2015-08-12,421822.0
2015-08-05,423226.0
2015-07-29,427633.0
2015-07-22,431836.0
2015-07-15,429368.0
2015-07-08,433223.0
2015-07-01,433223.0
2015-06-24,430837.0
2015-06-17,435771.0
2015-06-10,438447.0
2015-06-03,444464.0
2015-05-28,446412.0
2015-05-20,449214.0
2015-05-13,451888.0
2015-05-06,454079.0
2015-04-29,458181.0
2015-04-22,456271.0
2015-04-15,450956.0
2015-04-08,437983.0
2015-04-01,437983.0
2015-03-25,433217.0
2015-03-18,425047.0
2015-03-11,415425.0
2015-03-04,410246.0
2015-02-25,399943.0
2015-02-19,391516.0
2015-02-11,383800.0
2015-02-04,379473.0
2015-01-28,373140.0
2015-01-22,364266.0
2015-01-14,354195.0
2015-01-07,348806.0
2014-12-31,352979.0
2014-12-24,354733.0
2014-12-17,347466.0
2014-12-10,348313.0
2014-12-03,347015.0
2014-11-26,350704.0
2014-11-19,348758.0
2014-11-13,346150.0
2014-11-05,348935.0
2014-10-29,348475.0
2014-10-22,346414.0
2014-10-16,339303.0
2014-10-08,330380.0
2014-10-01,325465.0
2014-09-24,326828.0
2014-09-17,331101.0
2014-09-10,327428.0
2014-09-04,328119.0
2014-08-27,329024.0
2014-08-20,331094.0
2014-08-13,335568.0
2014-08-06,334167.0
2014-07-30,335631.0
2014-07-23,339328.0
2014-07-16,343297.0
2014-07-09,353229.0
2014-07-02,353229.0
2014-06-25,356384.0
2014-06-18,354642.0
2014-06-11,355221.0
2014-06-04,357951.0
2014-05-29,361382.0
2014-05-21,359725.0
2014-05-14,366951.0
2014-05-07,366004.0
2014-04-30,367576.0
2014-04-23,362354.0
2014-04-16,362354.0
2014-04-09,352341.0
2014-04-02,348423.0
2014-03-26,350802.0
2014-03-19,344183.0
2014-03-12,338333.0
2014-03-05,332453.0
2014-02-26,331024.0
2014-02-20,330956.0
2014-02-12,329983.0
2014-02-05,326930.0
2014-01-29,326490.0
2014-01-23,320069.0
2014-01-15,319079.0
2014-01-08,326737.0
2014-01-03,326737.0
