Weekly U.S. Imports of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WCRIMUS2&f=W
15:31:17 GMT+0200 (hora de verano de Europa central)
Data source: U.S. Energy Information Administration
Week of,Weekly U.S. Imports of Crude Oil Thousand Barrels per Day
01/6/2023,6350
12/30/2022,5712
12/23/2022,6252
12/16/2022,5819
12/9/2022,6867
12/2/2022,6012
11/25/2022,6037
11/18/2022,7063
11/11/2022,5559
11/4/2022,6454
10/28/2022,6205
10/21/2022,6180
10/14/2022,5908
10/7/2022,6063
09/30/2022,5947
09/23/2022,6449
09/16/2022,6947
09/9/2022,5792
09/2/2022,6779
08/26/2022,5956
08/19/2022,6171
08/12/2022,6132
08/5/2022,6171
07/29/2022,7342
07/22/2022,6164
07/15/2022,6519
07/8/2022,6675
07/1/2022,6839
06/24/2022,5998
06/17/2022,6226
06/10/2022,6985
06/3/2022,6154
05/27/2022,6218
05/20/2022,6486
05/13/2022,6568
05/6/2022,6269
04/29/2022,6332
04/22/2022,5934
04/15/2022,5837
04/8/2022,5995
04/1/2022,6300
03/25/2022,6259
03/18/2022,6486
03/11/2022,6395
03/4/2022,6319
02/25/2022,5767
02/18/2022,6828
02/11/2022,5790
02/4/2022,6389
01/28/2022,7085
01/21/2022,6236
01/14/2022,6745
01/7/2022,6069
12/31/2021,5884
12/24/2021,6759
12/17/2021,6194
12/10/2021,6471
12/3/2021,6499
11/26/2021,6604
11/19/2021,6436
11/12/2021,6191
11/5/2021,6108
10/29/2021,6172
10/22/2021,6254
10/15/2021,5825
10/8/2021,5994
10/1/2021,7035
09/24/2021,6552
09/17/2021,6465
09/10/2021,5761
09/3/2021,5810
08/27/2021,6340
08/20/2021,6157
08/13/2021,6350
08/6/2021,6396
07/30/2021,6432
07/23/2021,6507
07/16/2021,7097
07/9/2021,6221
07/2/2021,5875
06/25/2021,6406
06/18/2021,6943
06/11/2021,6746
06/4/2021,6638
05/28/2021,5631
05/21/2021,6273
05/14/2021,6411
05/7/2021,5488
04/30/2021,5451
04/23/2021,6616
04/16/2021,5405
04/9/2021,5852
04/2/2021,6264
03/26/2021,6145
03/19/2021,5622
03/12/2021,5323
03/5/2021,5655
02/26/2021,6292
02/19/2021,4599
02/12/2021,5898
02/5/2021,5857
01/29/2021,6507
01/22/2021,5064
01/15/2021,6045
01/8/2021,6239
01/1/2021,5369
12/25/2020,5326
12/18/2020,5564
12/11/2020,5424
12/4/2020,6479
11/27/2020,5399
11/20/2020,5228
11/13/2020,5254
11/6/2020,5499
10/30/2020,5029
10/23/2020,5664
10/16/2020,5118
10/9/2020,5286
10/2/2020,5732
09/25/2020,5122
09/18/2020,5168
09/11/2020,5008
09/4/2020,5423
08/28/2020,4900
08/21/2020,5916
08/14/2020,5730
08/7/2020,5621
07/31/2020,6010
07/24/2020,5146
07/17/2020,5941
07/10/2020,5567
07/3/2020,7394
06/26/2020,5969
06/19/2020,6540
06/12/2020,6642
06/5/2020,6864
05/29/2020,6179
05/22/2020,7200
05/15/2020,5197
05/8/2020,5391
05/1/2020,5712
04/24/2020,5302
04/17/2020,4937
04/10/2020,5680
04/3/2020,5874
03/27/2020,6047
03/20/2020,6117
03/13/2020,6539
03/6/2020,6412
02/28/2020,6238
02/21/2020,6217
02/14/2020,6547
02/7/2020,6978
01/31/2020,6615
01/24/2020,6660
01/17/2020,6432
01/10/2020,6552
01/3/2020,6730
12/27/2019,6352
12/20/2019,6809
12/13/2019,6579
12/6/2019,6887
11/29/2019,5989
11/22/2019,6190
11/15/2019,5972
11/8/2019,5750
11/1/2019,6077
10/25/2019,6697
10/18/2019,5857
10/11/2019,6295
10/4/2019,6224
09/27/2019,6291
09/20/2019,6378
09/13/2019,7050
09/6/2019,6725
08/30/2019,6904
08/23/2019,5928
08/16/2019,7218
08/9/2019,7714
08/2/2019,7148
07/26/2019,6663
07/19/2019,7028
07/12/2019,6832
07/5/2019,7302
06/28/2019,7585
06/21/2019,6656
06/14/2019,7467
06/7/2019,7611
05/31/2019,7927
05/24/2019,6862
05/17/2019,6943
05/10/2019,7612
05/3/2019,6693
04/26/2019,7414
04/19/2019,7149
04/12/2019,5992
04/5/2019,6599
03/29/2019,6763
03/22/2019,6540
03/15/2019,6932
03/8/2019,6746
03/1/2019,7001
02/22/2019,5917
02/15/2019,7522
02/8/2019,6210
02/1/2019,7146
01/25/2019,7083
01/18/2019,8191
01/11/2019,7527
01/4/2019,7846
12/28/2018,7392
12/21/2018,7656
12/14/2018,7423
12/7/2018,7393
11/30/2018,7219
11/23/2018,8162
11/16/2018,7554
11/9/2018,7452
11/2/2018,7539
10/26/2018,7344
10/19/2018,7678
10/12/2018,7615
10/5/2018,7397
09/28/2018,7965
09/21/2018,7802
09/14/2018,8024
09/7/2018,7591
08/31/2018,7714
08/24/2018,7485
08/17/2018,7518
08/10/2018,9014
08/3/2018,7931
07/27/2018,7749
07/20/2018,7770
07/13/2018,9066
07/6/2018,7431
06/29/2018,9055
06/22/2018,8356
06/15/2018,8242
06/8/2018,8099
06/1/2018,8346
05/25/2018,7631
05/18/2018,8159
05/11/2018,7601
05/4/2018,7323
04/27/2018,8549
04/20/2018,8469
04/13/2018,7930
04/6/2018,8650
03/30/2018,7898
03/23/2018,8148
03/16/2018,7077
03/9/2018,7585
03/2/2018,8003
02/23/2018,7282
02/16/2018,7021
02/9/2018,7888
02/2/2018,7892
01/26/2018,8430
01/19/2018,8041
01/12/2018,7950
01/5/2018,7658
12/29/2017,7966
12/22/2017,7993
12/15/2017,7834
12/8/2017,7363
12/1/2017,7202
11/24/2017,7329
11/17/2017,7873
11/10/2017,7898
11/3/2017,7377
10/27/2017,7571
10/20/2017,8123
10/13/2017,7483
10/6/2017,7617
09/29/2017,7214
09/22/2017,7427
09/15/2017,7368
09/8/2017,6480
09/1/2017,7083
08/25/2017,7905
08/18/2017,8790
08/11/2017,8126
08/4/2017,7762
07/28/2017,8253
07/21/2017,8044
07/14/2017,7996
07/7/2017,7610
06/30/2017,7742
06/23/2017,8016
06/16/2017,7876
06/9/2017,8025
06/2/2017,8341
05/26/2017,7985
05/19/2017,8294
05/12/2017,8590
05/5/2017,7620
04/28/2017,8264
04/21/2017,8912
04/14/2017,7810
04/7/2017,7878
03/31/2017,7850
03/24/2017,8224
03/17/2017,8307
03/10/2017,7405
03/3/2017,8150
02/24/2017,7589
02/17/2017,7286
02/10/2017,8491
02/3/2017,9372
01/27/2017,8290
01/20/2017,7810
01/13/2017,8378
01/6/2017,9052
12/30/2016,7183
12/23/2016,8167
12/16/2016,8471
12/9/2016,7360
12/2/2016,8303
11/25/2016,7548
11/18/2016,7578
11/11/2016,8423
11/4/2016,7442
10/28/2016,8995
10/21/2016,7016
10/14/2016,6907
10/7/2016,7861
09/30/2016,7710
09/23/2016,7835
09/16/2016,8309
09/9/2016,8062
09/2/2016,7069
08/26/2016,8917
08/19/2016,8642
08/12/2016,8193
08/5/2016,8404
07/29/2016,8738
07/22/2016,8437
07/15/2016,8134
07/8/2016,7841
07/1/2016,8363
06/24/2016,7555
06/17/2016,8439
06/10/2016,7622
06/3/2016,7705
05/27/2016,7839
05/20/2016,7315
05/13/2016,7677
05/6/2016,7655
04/29/2016,7660
04/22/2016,7550
04/15/2016,8187
04/8/2016,7940
04/1/2016,7254
03/25/2016,7748
03/18/2016,8384
03/11/2016,7693
03/4/2016,8048
02/26/2016,8292
02/19/2016,7802
02/12/2016,7919
02/5/2016,7124
01/29/2016,8256
01/22/2016,7609
01/15/2016,7779
01/8/2016,8188
01/1/2016,7510
12/25/2015,7892
12/18/2015,7326
12/11/2015,8312
12/4/2015,8021
11/27/2015,7747
11/20/2015,7333
11/13/2015,6968
11/6/2015,7377
10/30/2015,6943
10/23/2015,7032
10/16/2015,7471
10/9/2015,7315
10/2/2015,7068
09/25/2015,7554
09/18/2015,7176
09/11/2015,7189
09/4/2015,7459
08/28/2015,7855
08/21/2015,7199
08/14/2015,8038
08/7/2015,7573
07/31/2015,7180
07/24/2015,7545
07/17/2015,7941
07/10/2015,7354
07/3/2015,7316
06/26/2015,7513
06/19/2015,6765
06/12/2015,7067
06/5/2015,6623
05/29/2015,7373
05/22/2015,6696
05/15/2015,7199
05/8/2015,6881
05/1/2015,6541
04/24/2015,7446
04/17/2015,7765
04/10/2015,7148
04/3/2015,8217
03/27/2015,7348
03/20/2015,7392
03/13/2015,7496
03/6/2015,6793
02/27/2015,7368
02/20/2015,7279
02/13/2015,7105
02/6/2015,7286
01/30/2015,7387
01/23/2015,7422
01/16/2015,7218
01/9/2015,7492
01/2/2015,6856
12/26/2014,7061
12/19/2014,8292
12/12/2014,7104
12/5/2014,7668
11/28/2014,7303
11/21/2014,7473
11/14/2014,7638
11/7/2014,6877
10/31/2014,6675
10/24/2014,7101
10/17/2014,7477
10/10/2014,7740
10/3/2014,7712
09/26/2014,7284
09/19/2014,6870
09/12/2014,8114
09/5/2014,7621
08/29/2014,7675
08/22/2014,7633
08/15/2014,7459
08/8/2014,7846
08/1/2014,7563
07/25/2014,7744
07/18/2014,7407
07/11/2014,7427
07/4/2014,7285
06/27/2014,7265
06/20/2014,7341
06/13/2014,7234
06/6/2014,7146
05/30/2014,7123
05/23/2014,7809
05/16/2014,6469
05/9/2014,7127
05/2/2014,6885
04/25/2014,7483
04/18/2014,7796
04/11/2014,8271
04/4/2014,7312
03/28/2014,6831
03/21/2014,7617
03/14/2014,7309
03/7/2014,7311
02/28/2014,7112
02/21/2014,7037
02/14/2014,7421
02/7/2014,7929
01/31/2014,6887
01/24/2014,8048
01/17/2014,7544
01/10/2014,6889
01/3/2014,7961
12/27/2013,7495
12/20/2013,7535
12/13/2013,7732
12/6/2013,6862
11/29/2013,7809
11/22/2013,7718
11/15/2013,7863
11/8/2013,7844
11/1/2013,7224
10/25/2013,7459
10/18/2013,7656
10/11/2013,8004
10/4/2013,8043
09/27/2013,8363
09/20/2013,7925
09/13/2013,7578
09/6/2013,8017
08/30/2013,8255
08/23/2013,8374
08/16/2013,7951
08/9/2013,7917
08/2/2013,7914
07/26/2013,8168
07/19/2013,8032
07/12/2013,7705
07/5/2013,7525
06/28/2013,7407
06/21/2013,8298
06/14/2013,8436
06/7/2013,7850
05/31/2013,7268
05/24/2013,7817
05/17/2013,8130
05/10/2013,7623
05/3/2013,7606
04/26/2013,8166
04/19/2013,7564
04/12/2013,7431
04/5/2013,7720
03/29/2013,7931
03/22/2013,8158
03/15/2013,7317
03/8/2013,7535
03/1/2013,7308
02/22/2013,7958
02/15/2013,7689
02/8/2013,7513
02/1/2013,7569
01/25/2013,8068
01/18/2013,7730
01/11/2013,8030
01/4/2013,8342
12/28/2012,7094
12/21/2012,8025
12/14/2012,8399
12/7/2012,8499
11/30/2012,8230
11/23/2012,8118
11/16/2012,7768
11/9/2012,7870
11/2/2012,8011
10/26/2012,7922
10/19/2012,8823
10/12/2012,8347
10/5/2012,8221
09/28/2012,8106
09/21/2012,7595
09/14/2012,9848
09/7/2012,8565
08/31/2012,8035
08/24/2012,9495
08/17/2012,8207
08/10/2012,8717
08/3/2012,8627
07/27/2012,8406
07/20/2012,9633
07/13/2012,8937
07/6/2012,8626
06/29/2012,8774
06/22/2012,9118
06/15/2012,9445
06/8/2012,9117
06/1/2012,8957
05/25/2012,9056
05/18/2012,8583
05/11/2012,8881
05/4/2012,8967
04/27/2012,8822
04/20/2012,8766
04/13/2012,8718
04/6/2012,8522
03/30/2012,9774
03/23/2012,9269
03/16/2012,8224
03/9/2012,8716
03/2/2012,8712
02/24/2012,9187
02/17/2012,9091
02/10/2012,8756
02/3/2012,8413
01/27/2012,8880
01/20/2012,8853
01/13/2012,8265
01/6/2012,9907
12/30/2011,9024
12/23/2011,8990
12/16/2011,7581
12/9/2011,8322
12/2/2011,9436
11/25/2011,9061
11/18/2011,8319
11/11/2011,8565
11/4/2011,8618
10/28/2011,8954
10/21/2011,9373
10/14/2011,7921
10/7/2011,9086
09/30/2011,8700
09/23/2011,9702
09/16/2011,8351
09/9/2011,8542
09/2/2011,8565
08/26/2011,9607
08/19/2011,8808
08/12/2011,9285
08/5/2011,9100
07/29/2011,9134
07/22/2011,9840
07/15/2011,9343
07/8/2011,9000
07/1/2011,9854
06/24/2011,8878
06/17/2011,9149
06/10/2011,8638
06/3/2011,8600
05/27/2011,9518
05/20/2011,9232
05/13/2011,8570
05/6/2011,8964
04/29/2011,8877
04/22/2011,9266
04/15/2011,8053
04/8/2011,8571
04/1/2011,8950
03/25/2011,9128
03/18/2011,8987
03/11/2011,8681
03/4/2011,8300
02/25/2011,8010
02/18/2011,8106
02/11/2011,8266
02/4/2011,8909
01/28/2011,9014
01/21/2011,9385
01/14/2011,8999
01/7/2011,8895
12/31/2010,8446
12/24/2010,8813
12/17/2010,8741
12/10/2010,7690
12/3/2010,9053
11/26/2010,8446
11/19/2010,9024
11/12/2010,7864
11/5/2010,8089
10/29/2010,8578
10/22/2010,9463
10/15/2010,8600
10/8/2010,8128
10/1/2010,8926
09/24/2010,9005
09/17/2010,9322
09/10/2010,9027
09/3/2010,8885
08/27/2010,9679
08/20/2010,9881
08/13/2010,9561
08/6/2010,9441
07/30/2010,9629
07/23/2010,11153
07/16/2010,9977
07/9/2010,9281
07/2/2010,9413
06/25/2010,9481
06/18/2010,10112
06/11/2010,9699
06/4/2010,9535
05/28/2010,9455
05/21/2010,9928
05/14/2010,9829
05/7/2010,9687
04/30/2010,9951
04/23/2010,9681
04/16/2010,9613
04/9/2010,8880
04/2/2010,9561
03/26/2010,9060
03/19/2010,9397
03/12/2010,8428
03/5/2010,8492
02/26/2010,9236
02/19/2010,9084
02/12/2010,8548
02/5/2010,8342
01/29/2010,8426
01/22/2010,7867
01/15/2010,8540
01/8/2010,8895
01/1/2010,8355
12/25/2009,8027
12/18/2009,7707
12/11/2009,7772
12/4/2009,8137
11/27/2009,8401
11/20/2009,8950
11/13/2009,8579
11/6/2009,8656
10/30/2009,8126
10/23/2009,8890
10/16/2009,8699
10/9/2009,8731
10/2/2009,9098
09/25/2009,9533
09/18/2009,9794
09/11/2009,8903
09/4/2009,9095
08/28/2009,9576
08/21/2009,9225
08/14/2009,8113
08/7/2009,9530
07/31/2009,9287
07/24/2009,10024
07/17/2009,9203
07/10/2009,9549
07/3/2009,9224
06/26/2009,9363
06/19/2009,9284
06/12/2009,9037
06/5/2009,8970
05/29/2009,9646
05/22/2009,8778
05/15/2009,8791
05/8/2009,8708
05/1/2009,9920
04/24/2009,9824
04/17/2009,9855
04/10/2009,9391
04/3/2009,9332
03/27/2009,9554
03/20/2009,9384
03/13/2009,9180
03/6/2009,9121
02/27/2009,9028
02/20/2009,8769
02/13/2009,8793
02/6/2009,9652
01/30/2009,10037
01/23/2009,9708
01/16/2009,9866
01/9/2009,9729
01/2/2009,10485
12/26/2008,9249
12/19/2008,9118
12/12/2008,9673
12/5/2008,9959
11/28/2008,9504
11/21/2008,10959
11/14/2008,9871
11/7/2008,9503
10/31/2008,9972
10/24/2008,10337
10/17/2008,10400
10/10/2008,10161
10/3/2008,10346
09/26/2008,8989
09/19/2008,7143
09/12/2008,8510
09/5/2008,8581
08/29/2008,9830
08/22/2008,9979
08/15/2008,10991
08/8/2008,9655
08/1/2008,10193
07/25/2008,10005
07/18/2008,9806
07/11/2008,10791
07/4/2008,9547
06/27/2008,10168
06/20/2008,10251
06/13/2008,10259
06/6/2008,9688
05/30/2008,9786
05/23/2008,8959
05/16/2008,9237
05/9/2008,9933
05/2/2008,10628
04/25/2008,10215
04/18/2008,10041
04/11/2008,8879
04/4/2008,8912
03/28/2008,10283
03/21/2008,8898
03/14/2008,9468
03/7/2008,10548
02/29/2008,9437
02/22/2008,9958
02/15/2008,10102
02/8/2008,9737
02/1/2008,10514
01/25/2008,10056
01/18/2008,10156
01/11/2008,10389
01/4/2008,9806
12/28/2007,10009
12/21/2007,9805
12/14/2007,9111
12/7/2007,10063
11/30/2007,9374
11/23/2007,10354
11/16/2007,9820
11/9/2007,10487
11/2/2007,9656
10/26/2007,9381
10/19/2007,9103
10/12/2007,10408
10/5/2007,9869
09/28/2007,10253
09/21/2007,10442
09/14/2007,9805
09/7/2007,9563
08/31/2007,10237
08/24/2007,9822
08/17/2007,10815
08/10/2007,9873
08/3/2007,9998
07/27/2007,10165
07/20/2007,10378
07/13/2007,10375
07/6/2007,10025
06/29/2007,10778
06/22/2007,10501
06/15/2007,10791
06/8/2007,10141
06/1/2007,10240
05/25/2007,10018
05/18/2007,10892
05/11/2007,10332
05/4/2007,10991
04/27/2007,10264
04/20/2007,10035
04/13/2007,9919
04/6/2007,9804
03/30/2007,10245
03/23/2007,9632
03/16/2007,10418
03/9/2007,9802
03/2/2007,8872
02/23/2007,9522
02/16/2007,9742
02/9/2007,9584
02/2/2007,9547
01/26/2007,9967
01/19/2007,9808
01/12/2007,11057
01/5/2007,9505
12/29/2006,10126
12/22/2006,9129
12/15/2006,8902
12/8/2006,9598
12/1/2006,10299
11/24/2006,9758
11/17/2006,10490
11/10/2006,9450
11/3/2006,9787
10/27/2006,10093
10/20/2006,9494
10/13/2006,10430
10/6/2006,10364
09/29/2006,10513
09/22/2006,11083
09/15/2006,10592
09/8/2006,10597
09/1/2006,10365
08/25/2006,11153
08/18/2006,10197
08/11/2006,10022
08/4/2006,10165
07/28/2006,10431
07/21/2006,10507
07/14/2006,10701
07/7/2006,9619
06/30/2006,10539
06/23/2006,10546
06/16/2006,10994
06/9/2006,10547
06/2/2006,10881
05/26/2006,10842
05/19/2006,9557
05/12/2006,10383
05/5/2006,10007
04/28/2006,9811
04/21/2006,9864
04/14/2006,9665
04/7/2006,9539
03/31/2006,9953
03/24/2006,10100
03/17/2006,9331
03/10/2006,9940
03/3/2006,10145
02/24/2006,9878
02/17/2006,9959
02/10/2006,10264
02/3/2006,9860
01/27/2006,9596
01/20/2006,9257
01/13/2006,9846
01/6/2006,9870
12/30/2005,10058
12/23/2005,10189
12/16/2005,9859
12/9/2005,10429
12/2/2005,10579
11/25/2005,9693
11/18/2005,10219
11/11/2005,9700
11/4/2005,10584
10/28/2005,10060
10/21/2005,9957
10/14/2005,9207
10/7/2005,8619
09/30/2005,8119
09/23/2005,9693
09/16/2005,9832
09/9/2005,9128
09/2/2005,9531
08/26/2005,10463
08/19/2005,10577
08/12/2005,10305
08/5/2005,11057
07/29/2005,10956
07/22/2005,9940
07/15/2005,10825
07/8/2005,9954
07/1/2005,10219
06/24/2005,10971
06/17/2005,10177
06/10/2005,10617
06/3/2005,10220
05/27/2005,10698
05/20/2005,10311
05/13/2005,10859
05/6/2005,9992
04/29/2005,10259
04/22/2005,10863
04/15/2005,9718
04/8/2005,9863
04/1/2005,9890
03/25/2005,10568
03/18/2005,10270
03/11/2005,10041
03/4/2005,10099
02/25/2005,10065
02/18/2005,9643
02/11/2005,10434
02/4/2005,9914
01/28/2005,9886
01/21/2005,10458
01/14/2005,10120
01/7/2005,9973
12/31/2004,9775
12/24/2004,9863
12/17/2004,10545
12/10/2004,10366
12/3/2004,10864
11/26/2004,10056
11/19/2004,10189
11/12/2004,10229
11/5/2004,10495
10/29/2004,10676
10/22/2004,10317
10/15/2004,10097
10/8/2004,10054
10/1/2004,10180
09/24/2004,9886
09/17/2004,8426
09/10/2004,9914
09/3/2004,10711
08/27/2004,10280
08/20/2004,10549
08/13/2004,10407
08/6/2004,9524
07/30/2004,10351
07/23/2004,11324
07/16/2004,9901
07/9/2004,10054
07/2/2004,10138
06/25/2004,10591
06/18/2004,10188
06/11/2004,10271
06/4/2004,10483
05/28/2004,10703
05/21/2004,10493
05/14/2004,9939
05/7/2004,9926
04/30/2004,9791
04/23/2004,10469
04/16/2004,9676
04/9/2004,9461
04/2/2004,9757
03/26/2004,10077
03/19/2004,10108
03/12/2004,9498
03/5/2004,9788
02/27/2004,9837
02/20/2004,9007
02/13/2004,10160
02/6/2004,8447
01/30/2004,10488
01/23/2004,8634
01/16/2004,9803
01/9/2004,9214
01/2/2004,9759
12/26/2003,9438
12/19/2003,9515
12/12/2003,9140
12/5/2003,9531
11/28/2003,9128
11/21/2003,9151
11/14/2003,10354
11/7/2003,9948
10/31/2003,10176
10/24/2003,10159
10/17/2003,9513
10/10/2003,10019
10/3/2003,9852
09/26/2003,9513
09/19/2003,10299
09/12/2003,10759
09/5/2003,9648
08/29/2003,10126
08/22/2003,10246
08/15/2003,9868
08/8/2003,9970
08/1/2003,10294
07/25/2003,10084
07/18/2003,9441
07/11/2003,9732
07/4/2003,9599
06/27/2003,9466
06/20/2003,9332
06/13/2003,10302
06/6/2003,9884
05/30/2003,10521
05/23/2003,10041
05/16/2003,10073
05/9/2003,9334
05/2/2003,9856
04/25/2003,9669
04/18/2003,10614
04/11/2003,9405
04/4/2003,8917
03/28/2003,10361
03/21/2003,9655
03/14/2003,8693
03/7/2003,7621
02/28/2003,8679
02/21/2003,8325
02/14/2003,8762
02/7/2003,7197
01/31/2003,8379
01/24/2003,8678
01/17/2003,8745
01/10/2003,8489
01/3/2003,8289
12/27/2002,7631
12/20/2002,9145
12/13/2002,9413
12/6/2002,9882
11/29/2002,9503
11/22/2002,8957
11/15/2002,10159
11/8/2002,9177
11/1/2002,9099
10/25/2002,9015
10/18/2002,9992
10/11/2002,9502
10/4/2002,8191
09/27/2002,8509
09/20/2002,8953
09/13/2002,8665
09/6/2002,8339
08/30/2002,9233
08/23/2002,9200
08/16/2002,9398
08/9/2002,9193
08/2/2002,8686
07/26/2002,9168
07/19/2002,9226
07/12/2002,9163
07/5/2002,8417
06/28/2002,9591
06/21/2002,9030
06/14/2002,9218
06/7/2002,8730
05/31/2002,9165
05/24/2002,8844
05/17/2002,9101
05/10/2002,8765
05/3/2002,9160
04/26/2002,9409
04/19/2002,9133
04/12/2002,8265
04/5/2002,8849
03/29/2002,9127
03/22/2002,7858
03/15/2002,8448
03/8/2002,8160
03/1/2002,8201
02/22/2002,8095
02/15/2002,8034
02/8/2002,9293
02/1/2002,8595
01/25/2002,8589
01/18/2002,9187
01/11/2002,8517
01/4/2002,8662
12/28/2001,8167
12/21/2001,8692
12/14/2001,8807
12/7/2001,9001
11/30/2001,9891
11/23/2001,8217
11/16/2001,8909
11/9/2001,9669
11/2/2001,9350
10/26/2001,9443
10/19/2001,9361
10/12/2001,8636
10/5/2001,9556
09/28/2001,8988
09/21/2001,8778
09/14/2001,8677
09/7/2001,9107
08/31/2001,8258
08/24/2001,9400
08/17/2001,8572
08/10/2001,8516
08/3/2001,8683
07/27/2001,8893
07/20/2001,9651
07/13/2001,9986
07/6/2001,9262
06/29/2001,9573
06/22/2001,9076
06/15/2001,8709
06/8/2001,8694
06/1/2001,9846
05/25/2001,8951
05/18/2001,10241
05/11/2001,9330
05/4/2001,9709
04/27/2001,10324
04/20/2001,9415
04/13/2001,9864
04/6/2001,9480
03/30/2001,9228
03/23/2001,9882
03/16/2001,9331
03/9/2001,10277
03/2/2001,8654
02/23/2001,9041
02/16/2001,7689
02/9/2001,9056
02/2/2001,9217
01/26/2001,8751
01/19/2001,7806
01/12/2001,8508
01/5/2001,9362
12/29/2000,8877
12/22/2000,8637
12/15/2000,9445
12/8/2000,8810
12/1/2000,8712
11/24/2000,7916
11/17/2000,8853
11/10/2000,8561
11/3/2000,9328
10/27/2000,9320
10/20/2000,9631
10/13/2000,8983
10/6/2000,9139
09/29/2000,8990
09/22/2000,9464
09/15/2000,9034
09/8/2000,9497
09/1/2000,9671
08/25/2000,9296
08/18/2000,9318
08/11/2000,9696
08/4/2000,9429
07/28/2000,8784
07/21/2000,9983
07/14/2000,9341
07/7/2000,9824
06/30/2000,8939
06/23/2000,9374
06/16/2000,9477
06/9/2000,8846
06/2/2000,8660
05/26/2000,8672
05/19/2000,9341
05/12/2000,8908
05/5/2000,9353
04/28/2000,8701
04/21/2000,9708
04/14/2000,9124
04/7/2000,9205
03/31/2000,9282
03/24/2000,8043
03/17/2000,8628
03/10/2000,7953
03/3/2000,8818
02/25/2000,7684
02/18/2000,8265
02/11/2000,8198
02/4/2000,8416
01/28/2000,6746
01/21/2000,8448
01/14/2000,7396
01/7/2000,8508
12/31/1999,8054
12/24/1999,8310
12/17/1999,8147
12/10/1999,7548
12/3/1999,8827
11/26/1999,7450
11/19/1999,8227
11/12/1999,8362
11/5/1999,8381
10/29/1999,8763
10/22/1999,8115
10/15/1999,8832
10/8/1999,7727
10/1/1999,8678
09/24/1999,8474
09/17/1999,8809
09/10/1999,8245
09/3/1999,8305
08/27/1999,9138
08/20/1999,9053
08/13/1999,8633
08/6/1999,8578
07/30/1999,9228
07/23/1999,9483
07/16/1999,9000
07/9/1999,8669
07/2/1999,9248
06/25/1999,7958
06/18/1999,9164
06/11/1999,8759
06/4/1999,8406
05/28/1999,9081
05/21/1999,8638
05/14/1999,9017
05/7/1999,8439
04/30/1999,8206
04/23/1999,8273
04/16/1999,8983
04/9/1999,8630
04/2/1999,8364
03/26/1999,9085
03/19/1999,7874
03/12/1999,9044
03/5/1999,8653
02/26/1999,8949
02/19/1999,8780
02/12/1999,8255
02/5/1999,8405
01/29/1999,8559
01/22/1999,8458
01/15/1999,8944
01/8/1999,8488
01/1/1999,7569
12/25/1998,8982
12/18/1998,8794
12/11/1998,9152
12/4/1998,9233
11/27/1998,7976
11/20/1998,9501
11/13/1998,7770
11/6/1998,8920
10/30/1998,8201
10/23/1998,8176
10/16/1998,8158
10/9/1998,8663
10/2/1998,8222
09/25/1998,9114
09/18/1998,7476
09/11/1998,8631
09/4/1998,8487
08/28/1998,9379
08/21/1998,8993
08/14/1998,9958
08/7/1998,9345
07/31/1998,9369
07/24/1998,9264
07/17/1998,9209
07/10/1998,9250
07/3/1998,7704
06/26/1998,10018
06/19/1998,8193
06/12/1998,8875
06/5/1998,9806
