Noticia_EIA,fechas_noticia_EIA
The Gulf of Mexico saw its largest decrease in crude oil production since 2008 in August,2020-11-18
EIA expects U.S. crude oil production to remain relatively flat through 2021,2020-11-17
"In 2019, the U.S. imported $13 billion of energy goods from Mexico, exported $34 billion",2020-11-04
Crude oil tanker rates are likely to remain low until global petroleum demand increases,2020-10-28
Global liquid fuels production outages have increased in 2020,2020-10-13
Hurricane Laura shut in more Gulf of Mexico crude oil production than any storm since 2008,2020-10-02
OPEC+ agreement to reduce production contributes to global oil market rebalancing,2020-09-23
U.S. crude oil exports have fallen in each month since their record high in February,2020-09-22
Fossil fuels account for the largest share of U.S. energy production and consumption,2020-09-14
The U.S. continued to produce more light crude oil in 2019 and import less heavy crude oil,2020-09-09
U.S. energy imports and exports were nearly equal in May,2020-09-03
Changing demand for petroleum products has led to operational changes at U.S. refineries,2020-08-28
North Dakota crude oil production fell in May beyond natural declines,2020-08-20
Currency appreciation makes crude oil less expensive for some oil importers,2020-08-14
Gasoline and diesel refining margins that diverged in March have moved closer together,2020-08-06
U.S. crude oil production in May has a record monthly decrease,2020-08-04
Early 2020 drop in crude oil prices led to write-downs of U.S. oil producers’ assets,2020-07-27
Colorado ranks seventh among states with the most energy production,2020-07-23
Hydrocarbon gas liquids spot prices are generally bound by crude oil and natural gas,2020-07-22
U.S. crude oil and natural gas production in April had biggest monthly decreases in years,2020-07-14
Drop in petroleum demand led to rise in crude oil inventories and low refinery utilization,2020-07-09
U.S. commercial crude oil inventories reach all-time high,2020-06-29
U.S. crude oil and natural gas production in 2019 hit records with fewer rigs and wells,2020-06-25
EIA’s liquids pipeline database provides detail on U.S. petroleum infrastructure changes,2020-06-11
Canada is the largest source of U.S. energy imports,2020-06-05
Lower crude oil prices will mean less exploration and development,2020-06-04
"North American crude oil prices are closely, but not perfectly, connected",2020-05-27
The number of active U.S. crude oil and natural gas rigs is at the lowest point on record,2020-05-20
EIA forecasts U.S. crude oil production to fall in 2020 and 2021,2020-05-14
U.S. crude oil inventories are approaching record-high levels,2020-04-30
Natural gas markets remain regionalized compared with oil markets,2020-04-29
"In 2019, U.S. energy production exceeded consumption for the first time in 62 years",2020-04-28
Low liquidity and limited available storage pushed WTI crude oil futures prices below zero,2020-04-27
U.S. total energy exports exceed imports in 2019 for the first time in 67 years,2020-04-20
EIA’s Weekly Petroleum Status Report provides crude oil and refined products balances,2020-04-16
Oil market volatility is at an all-time high,2020-03-27
China’s crude oil imports surpassed 10 million barrels per day in 2019,2020-03-23
"As total U.S. crude oil imports have fallen, imports from Canada have increased",2020-03-19
OPEC shift to maintain market share will cause global inventory increases and lower prices,2020-03-16
U.S. crude oil exports increased to nearly 3 million barrels per day in 2019,2020-03-12
"U.S. crude oil production grew 11% in 2019, surpassing 12 million barrels per day",2020-03-02
U.S. crude oil production increases; imports remain strong to support refinery operations,2020-02-25
