Fecha de publicación,Hora,Actual,Previsión,Anterior
06.01.2021,17:30,"-8,010M","-2,133M","-6,065M"
30.12.2020,17:30,"-6,065M","-2,583M","-0,562M"
23.12.2020,17:30,"-0,562M","-3,186M","-3,135M"
16.12.2020,17:30,"-3,135M","-1,937M","15,189M"
09.12.2020,17:30,"15,189M","-1,424M","-0,679M"
02.12.2020,17:30,"-0,679M","-2,358M","-0,754M"
25.11.2020,17:30,"-0,754M","0,127M","0,768M"
18.11.2020,17:30,"0,768M","1,650M","4,278M"
12.11.2020,18:00,"4,278M","-0,913M","-7,998M"
04.11.2020,17:30,"-7,998M","0,890M","4,320M"
28.10.2020,16:30,"4,320M","1,230M","-1,001M"
21.10.2020,16:30,"-1,001M","-1,021M","-3,818M"
15.10.2020,17:00,"-3,818M","-2,835M","0,501M"
07.10.2020,16:30,"0,501M","0,294M","-1,980M"
30.09.2020,16:30,"-1,980M","1,569M","-1,639M"
23.09.2020,16:30,"-1,639M","-2,325M","-4,389M"
16.09.2020,16:30,"-4,389M","1,271M","2,032M"
10.09.2020,17:00,"2,032M","-1,335M","-9,362M"
02.09.2020,16:30,"-9,362M","-1,887M","-4,689M"
26.08.2020,16:30,"-4,689M","-3,694M","-1,632M"
19.08.2020,16:30,"-1,632M","-2,670M","-4,512M"
12.08.2020,16:30,"-4,512M","-2,875M","-7,373M"
05.08.2020,16:30,"-7,373M","-3,001M","-10,612M"
29.07.2020,16:30,"-10,612M","0,357M","4,892M"
22.07.2020,16:30,"4,892M","-2,088M","-7,493M"
15.07.2020,16:30,"-7,493M","-2,098M","5,654M"
08.07.2020,16:30,"5,654M","-3,114M","-7,195M"
01.07.2020,16:30,"-7,195M","-0,710M","1,442M"
24.06.2020,16:30,"1,442M","0,299M","1,215M"
17.06.2020,16:30,"1,215M","-0,152M","5,720M"
10.06.2020,16:30,"5,720M","-1,738M","-2,077M"
03.06.2020,16:30,"-2,077M","3,038M","7,928M"
28.05.2020,17:00,"7,928M","-1,944M","-4,983M"
20.05.2020,16:30,"-4,983M","1,151M","-0,745M"
13.05.2020,16:30,"-0,745M","4,147M","4,590M"
06.05.2020,16:30,"4,590M","7,759M","8,991M"
29.04.2020,16:30,"8,991M","10,619M","15,022M"
22.04.2020,16:30,"15,022M","15,150M","19,248M"
15.04.2020,16:30,"19,248M","11,676M","15,177M"
08.04.2020,16:30,"15,177M","9,271M","13,834M"
01.04.2020,16:30,"13,834M","3,997M","1,623M"
25.03.2020,16:30,"1,623M","2,774M","1,954M"
18.03.2020,16:30,"1,954M","3,256M","7,664M"
11.03.2020,16:30,"7,664M","2,266M","0,785M"
04.03.2020,17:30,"0,785M","2,644M","0,452M"
26.02.2020,17:30,"0,452M","2,005M","0,414M"
20.02.2020,18:00,"0,414M","2,494M","7,459M"
12.02.2020,17:30,"7,459M","2,987M","3,355M"
05.02.2020,17:30,"3,355M","2,831M","3,548M"
29.01.2020,17:30,"3,548M","0,482M","-0,405M"
23.01.2020,18:00,"-0,405M","-1,009M","-2,549M"
15.01.2020,17:30,"-2,549M","-0,474M","1,164M"
08.01.2020,17:30,"1,164M","-3,572M","-11,463M"
03.01.2020,18:00,"-11,463M","-3,288M","-5,474M"
27.12.2019,18:00,"-5,474M","-1,724M","-1,085M"
18.12.2019,17:30,"-1,085M","-1,288M","0,822M"
11.12.2019,17:30,"0,822M","-2,763M","-4,856M"
04.12.2019,17:30,"-4,856M","-1,734M","1,572M"
27.11.2019,17:30,"1,572M","-0,418M","1,379M"
20.11.2019,17:30,"1,379M","1,543M","2,219M"
14.11.2019,18:00,"2,219M","1,649M","7,929M"
06.11.2019,17:30,"7,929M","1,515M","5,702M"
30.10.2019,16:30,"5,702M","0,494M","-1,699M"
23.10.2019,16:30,"-1,699M","2,232M","9,281M"
17.10.2019,17:00,"9,281M","2,878M","2,927M"
09.10.2019,16:30,"2,927M","1,413M","3,100M"
02.10.2019,16:30,"3,100M","1,567M","2,412M"
25.09.2019,16:30,"2,412M","-0,249M","1,058M"
18.09.2019,16:30,"1,058M","-2,496M","-6,912M"
11.09.2019,16:30,"-6,912M","-2,686M","-4,771M"
05.09.2019,17:00,"-4,771M","-2,488M","-10,027M"
28.08.2019,16:30,"-10,027M","-2,112M","-2,700M"
21.08.2019,16:30,"-2,700M","-1,889M","1,580M"
14.08.2019,16:30,"1,580M","-2,775M","2,385M"
07.08.2019,16:30,"2,385M","-2,845M","-8,496M"
31.07.2019,16:30,"-8,496M","-2,588M","-10,835M"
24.07.2019,16:30,"-10,835M","-4,011M","-3,116M"
17.07.2019,16:30,"-3,116M","-2,694M","-9,499M"
10.07.2019,16:30,"-9,499M","-3,081M","-1,085M"
03.07.2019,16:30,"-1,085M","-2,964M","-12,788M"
26.06.2019,16:30,"-12,788M","-2,540M","-3,106M"
19.06.2019,16:30,"-3,106M","-1,077M","2,206M"
12.06.2019,16:30,"2,206M","-0,481M","6,771M"
05.06.2019,16:30,"6,771M","-0,849M","-0,282M"
30.05.2019,17:00,"-0,282M","-0,857M","4,740M"
22.05.2019,16:30,"4,740M","-0,599M","5,431M"
15.05.2019,16:30,"5,431M","-0,800M","-3,963M"
08.05.2019,16:30,"-3,963M","1,215M","9,934M"
01.05.2019,16:30,"9,900M","1,485M","5,479M"
24.04.2019,16:30,"5,479M","1,255M","-1,396M"
17.04.2019,16:30,"-1,396M","-1,200M","7,029M"
10.04.2019,16:30,"7,029M","2,294M","7,238M"
03.04.2019,16:30,"7,238M","-0,425M","2,800M"
27.03.2019,16:30,"2,800M","-1,100M","-9,589M"
20.03.2019,16:30,"-9,589M","0,309M","-3,862M"
13.03.2019,16:30,"-3,862M","2,655M","7,069M"
06.03.2019,17:30,"7,069M","1,203M","-8,647M"
27.02.2019,17:30,"-8,647M","2,842M","3,672M"
21.02.2019,18:00,"3,672M","3,080M","3,633M"
13.02.2019,17:30,"3,633M","2,668M","1,263M"
06.02.2019,17:30,"1,263M","2,179M","0,919M"
30.01.2019,17:30,"0,919M","3,100M","7,970M"
24.01.2019,18:00,"7,970M","-0,042M","-2,683M"
16.01.2019,17:30,"-2,683M","-1,323M","-1,680M"
09.01.2019,17:30,"-1,680M","-2,400M","0,007M"
04.01.2019,18:00,"0,007M","-3,086M","-0,046M"
28.12.2018,18:00,"-0,046M","-2,869M","-0,497M"
19.12.2018,17:30,"-0,497M","-2,437M","-1,208M"
12.12.2018,17:30,"-1,208M","-2,990M","-7,323M"
06.12.2018,18:00,"-7,323M","-0,942M","3,577M"
28.11.2018,17:30,"3,577M","0,769M","4,851M"
21.11.2018,17:30,"4,851M","2,500M","10,270M"
15.11.2018,18:00,"10,270M","3,182M","5,783M"
07.11.2018,17:30,"5,783M","2,433M","3,217M"
31.10.2018,16:30,"3,217M","4,110M","6,346M"
24.10.2018,16:30,"6,346M","3,694M","6,490M"
17.10.2018,16:30,"6,490M","1,600M","5,987M"
11.10.2018,17:00,"5,987M","2,620M","7,975M"
03.10.2018,16:30,"7,975M","1,985M","1,852M"
26.09.2018,16:30,"1,852M","-1,279M","-2,057M"
19.09.2018,16:30,"-2,057M","-2,741M","-5,296M"
12.09.2018,16:30,"-5,296M","-1,300M","-4,302M"
06.09.2018,17:00,"-4,302M","-1,294M","-2,566M"
29.08.2018,16:30,"-2,566M","-0,686M","-5,836M"
22.08.2018,16:30,"-5,836M","-1,497M","6,805M"
15.08.2018,16:30,"6,805M","-2,499M","-1,351M"
08.08.2018,16:30,"-1,351M","-2,800M","3,803M"
01.08.2018,16:30,"3,803M","-2,794M","-6,147M"
25.07.2018,16:30,"-6,147M","-2,600M","5,836M"
18.07.2018,16:30,"5,836M","-3,622M","-12,633M"
11.07.2018,16:30,"-12,633M","-4,489M","1,245M"
05.07.2018,17:00,"1,245M","-5,200M","-9,891M"
27.06.2018,16:30,"-9,891M","-2,572M","-5,914M"
20.06.2018,16:30,"-5,914M","-2,100M","-4,143M"
13.06.2018,16:30,"-4,143M","-1,440M","2,072M"
06.06.2018,16:30,"2,072M","-2,000M","-3,620M"
31.05.2018,17:00,"-3,620M","-0,400M","5,778M"
23.05.2018,16:30,"5,778M","-1,567M","-1,404M"
16.05.2018,16:30,"-1,404M","-0,763M","-2,197M"
09.05.2018,16:30,"-2,197M","-0,200M","6,218M"
02.05.2018,16:30,"6,218M","0,739M","2,170M"
25.04.2018,16:30,"2,170M","-1,600M","-1,071M"
18.04.2018,16:30,"-1,071M","-0,500M","3,306M"
11.04.2018,16:30,"3,306M","-0,600M","-4,617M"
04.04.2018,16:30,"-4,617M","1,400M","1,643M"
28.03.2018,16:30,"1,643M","-0,287M","-2,622M"
21.03.2018,16:30,"-2,622M","2,600M","5,022M"
14.03.2018,16:30,"5,022M","2,023M","2,408M"
07.03.2018,17:30,"2,408M","2,723M","3,019M"
28.02.2018,17:30,"3,019M","2,400M","-1,616M"
22.02.2018,18:00,"-1,616M","1,795M","1,841M"
14.02.2018,17:30,"1,841M","2,825M","1,895M"
07.02.2018,17:30,"1,895M","3,189M","6,776M"
31.01.2018,17:30,"6,776M","0,126M","-1,071M"
24.01.2018,17:30,"-1,071M","-1,000M","-6,861M"
18.01.2018,18:00,"-6,861M","-3,536M","-4,948M"
10.01.2018,17:30,"-4,948M","-3,890M","-7,419M"
04.01.2018,18:00,"-7,419M","-5,148M","-4,609M"
28.12.2017,18:00,"-4,609M","-3,970M","-6,495M"
20.12.2017,17:30,"-6,495M","-3,769M","-5,117M"
13.12.2017,17:30,"-5,117M","-3,759M","-5,610M"
06.12.2017,17:30,"-5,610M","-3,404M","-3,429M"
29.11.2017,17:30,"-3,429M","-2,301M","-1,855M"
22.11.2017,17:30,"-1,855M","-1,545M","1,854M"
15.11.2017,17:30,"1,854M","-2,200M","2,237M"
08.11.2017,17:30,"2,237M","-2,876M","-2,435M"
01.11.2017,16:30,"-2,435M","-1,756M","0,856M"
25.10.2017,16:30,"0,856M","-2,578M","-5,731M"
18.10.2017,16:30,"-5,731M","-4,242M","-2,747M"
12.10.2017,17:00,"-2,747M","-1,991M","-6,023M"
04.10.2017,16:30,"-6,023M","-0,756M","-1,846M"
27.09.2017,16:30,"-1,846M","3,422M","4,591M"
20.09.2017,16:30,"4,591M","3,493M","5,888M"
13.09.2017,16:30,"5,888M","3,238M","4,580M"
07.09.2017,17:00,"4,580M","4,022M","-5,392M"
30.08.2017,16:30,"-5,392M","-1,908M","-3,327M"
23.08.2017,16:30,"-3,327M","-3,450M","-8,945M"
16.08.2017,16:30,"-8,945M","-3,058M","-6,451M"
09.08.2017,16:30,"-6,451M","-2,720M","-1,527M"
02.08.2017,16:30,"-1,527M","-2,957M","-7,208M"
